toy_name,toy_type,toy_size,fragility_level,toy_material,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,recommended_packaging,packaging_cost_inr
Mini Vehicle Toy Puzzle (20pc),Vehicle Toy,Medium,3,Resin,2,2000,9,2,85,Tin Box,427.5
Mini Educational Kit (18pc),Educational,Medium,9,Bamboo,1,1000,4,9,63,Box,272.7
Glow-in-Dark STEM Puzzle (5pc),STEM/Electronic,Medium,7,Metal/Plastic,5,100,4,6,23,Plastic Case,77.4
Deluxe Musical Toy Block (27pc),Musical Toy,Large,1,Resin,8,1000,2,7,20,Canvas Bag,390.6
Glow-in-Dark Doll Block (41pc),Doll,Medium,2,ABS Plastic,4,5000,5,2,39,Plastic Case,320.4
Eco-Friendly Musical Toy Doll (45pc),Musical Toy,Large,3,Metal/Plastic,6,100,5,2,87,Window Box,435.6
Classic Puzzle Figure (15pc),Puzzle,Extra Large,7,Silicone,9,100,6,1,39,Recycled Box,102.6
Magnetic Action Figure Puzzle (9pc),Action Figure,Medium,10,Resin,6,100,8,7,92,Storage Tub,90
Eco-Friendly Science Model (20pc),Science/Electronic,Large,10,Cardboard,10,500,6,4,27,Canvas Bag,240.3
Deluxe Pretend Play Set (12pc),Pretend Play/Food,Medium,3,Polyester,7,1000,2,7,58,Box + Tray,136.8
Classic STEM Puzzle (40pc),STEM/Electronic,Small,2,Felt/Fabric,9,5000,5,6,24,Polybag,70.2
Advanced Board Game Doll (5pc),Board Game,Large,9,Polyester,3,1000,2,5,91,Canvas Bag,170.1
Giant Building Blocks Model (28pc),Building Blocks,Medium,9,Polyester,9,50,10,6,72,Recycled Box,354.6
Modular Vehicle Toy Puzzle (20pc),Vehicle Toy,Small,4,Bamboo,2,50,8,2,78,Recycled Bag,234.9
Vintage Science Robot (15pc),Science/Electronic,Large,9,Bamboo,7,100,9,4,49,Tin Box,29.7
Vintage Sports Toy Robot (33pc),Sports Toy,Small,4,Organic Cotton,2,250,1,10,80,Box,83.7
Giant Robot Set (9pc),Robot/Programmable,Small,4,Wood,1,5000,6,2,75,Box,426.6
Vintage Craft Figure (39pc),Craft/Hobby,Medium,10,Bamboo,8,100,8,7,34,Plastic Case,364.5
Magnetic Vehicle Toy Block (32pc),Vehicle Toy,Extra Large,8,Resin,1,2000,2,1,61,Blister Pack,52.2
Deluxe Action Figure Figure (17pc),Action Figure,Medium,9,Rubber,3,500,3,5,69,Box,202.5
Vintage Learning Toy Robot (11pc),Learning Toy,Small,9,ABS Plastic,2,5000,4,3,62,Storage Tub,226.8
Giant Pretend Play Vehicle (8pc),Pretend Play/Food,Medium,7,ABS Plastic,7,250,8,5,64,Blister Pack,409.5
Vintage Art Model (17pc),Art/Crafts,Large,4,ABS Plastic,10,2000,9,1,50,Recycled Box,300.6
