product_id,product_name,category,weight_kg,fragility_level,temperature_sensitive
1,Chocolate Bar,Confectionery,0.1,2,Yes
2,Milk Bottle (1L),Dairy,1,6,Yes
3,Egg Carton (12),Dairy,0.8,10,No
4,Potato Chips Bag,Snacks,0.15,3,No
5,Glass Ketchup Bottle,Condiments,0.9,9,No
6,Bread Loaf,Bakery,0.45,3,Yes
7,Frozen Peas (500g),Frozen Food,0.5,1,Yes
8,Biscuits Pack,Snacks,0.2,2,No
9,Honey Glass Jar,Condiments,0.6,8,No
10,Yogurt Cup (150g),Dairy,0.25,4,Yes
11,Noodles Packet,Staples,0.3,1,No
12,Sauce Pouch,Condiments,0.5,2,Yes
13,Fruit Juice Carton (1L),Beverages,1,4,Yes
14,Ice Cream Tub (500g),Frozen Food,0.7,3,Yes
15,Pickle Glass Jar,Condiments,0.8,9,No
16,Cheese Block (250g),Dairy,0.25,3,Yes
17,Jelly Cup,Confectionery,0.1,3,Yes
18,Cooking Oil Bottle (1L),Pantry,1,5,No
19,Chilli Powder Packet,Spices,0.2,1,No
20,Rice Bag (5kg),Staples,5,1,No
21,Dry Fruits Box,Snacks,0.5,5,No
22,Tomato Puree Pouch,Condiments,0.4,2,Yes
23,Tea Powder Box,Pantry,0.25,1,No
24,Snack Pellets Pack,Snacks,0.3,2,No
25,Soft Drink Bottle (500ml),Beverages,0.5,5,No
26,Frozen Chicken (1kg),Frozen Food,1,6,Yes
27,Fresh Salmon Fillet (400g),Seafood,0.4,8,Yes
28,Fresh Apples Pack (1kg),Produce,1,3,No
29,Fresh Bananas (1kg),Produce,1,2,No
30,Leafy Salad Pack (200g),Produce,0.2,5,Yes
31,Tomatoes (1kg),Produce,1,4,No
32,Strawberries Pack (250g),Produce,0.25,9,Yes
33,Bottle of Wine (750ml),Beverages,0.75,8,No
34,Olive Oil Bottle (500ml),Pantry,0.5,4,No
35,Shelf-Stable Milk (1L),Dairy,1,2,No
36,Glass Marmalade Jar,Condiments,0.4,8,No
37,Butter Block (200g),Dairy,0.2,6,Yes
38,Tofu Pack (300g),Protein,0.3,5,Yes
39,Frozen Pizza (400g),Frozen Food,0.4,2,Yes
40,Cheese Slices Pack,Food,0.2,4,Yes
41,Peanut Butter Jar (500g),Pantry,0.5,3,No
42,Fresh Paneer (250g),Dairy,0.25,7,Yes
43,Glass Sauce Jar (spicy),Condiments,0.55,7,No
44,Deli Cold Cuts (200g),Deli,0.2,6,Yes
45,Instant Coffee Jar,Pantry,0.2,1,No
46,Granola Bar Pack,Snacks,0.05,1,No
47,Protein Powder (1kg),Pantry,1,2,No
48,Frozen Vegetables Mix (1kg),Frozen Food,1,2,Yes
49,Glass Olive Jar,Condiments,0.7,8,No
50,Sushi Pack (fresh),Prepared Food,0.3,9,Yes
51,Ready Meal (Microwaveable),Prepared Food,0.45,2,Yes
52,Sliced Bread Pack,Bakery,0.4,3,Yes
53,Energy Drink Can (250ml),Beverages,0.25,2,No
54,Canned Tuna (200g),Canned Food,0.2,1,No
55,Glass Milk Bottle (500ml),Dairy,0.5,6,Yes
56,Frozen Shrimp (500g),Seafood,0.5,7,Yes
57,Spice Sachet (small),Spices,0.02,1,No
58,Fresh Grapes Pack (500g),Produce,0.5,5,Yes
59,Glass Pickle Jar Large,Condiments,1.2,9,No
60,Frozen Ice Pops (pack),Frozen Food,0.3,2,Yes
61,Packaged Salami (200g),Deli,0.25,6,No
62,Bulk Sugar Bag (2kg),Pantry,2,1,No
63,Flour Packet (1kg),Pantry,1,1,No
64,Butter Cookies Tin,Confectionery,0.5,6,No
65,Fresh Oysters Pack (500g),Seafood,0.5,10,Yes
66,Fresh Milk Pouch (500ml),Dairy,0.5,5,Yes
67,Glass Sauce Bottle Small,Condiments,0.3,6,No
68,Yogurt Drink Bottle (250ml),Dairy,0.25,5,Yes
69,Pasteurized Cheese Wheel (2kg),Dairy,2,4,Yes
70,Glass Mustard Jar,Condiments,0.35,6,No
71,Prepared Salad Bowl,Prepared Food,0.35,6,Yes
72,Marinated Vegetables Jar,Condiments,0.8,7,No
73,Fresh Beef Steak (300g),Meat,0.3,8,Yes
74,Packaged Sausages (1kg),Meat,1,6,Yes
75,Glass Syrup Bottle,Condiments,0.75,6,No
76,Fresh Broccoli (500g),Produce,0.5,3,Yes
77,Organic Yogurt Tub (500g),Dairy,0.5,5,Yes
78,Glass Lemon Curd Jar,Condiments,0.4,7,No
79,Packaged Spaghetti (500g),Pantry,0.5,1,No
80,Protein Bar,Snacks,0.06,1,No
81,Fresh Mango (single),Produce,0.3,2,Yes
82,Fresh Avocado (single),Produce,0.25,5,Yes
83,Glass Juice Bottle (250ml),Beverages,0.25,3,Yes
84,Herb Box (basil),Produce,0.05,6,Yes
85,Glass Baby Food Jar,Infant Food,0.12,9,Yes
86,Packaged Cheese Spread,Food,0.2,3,Yes
87,Frozen Fish Fillet (250g),Seafood,0.25,6,Yes
88,Bulk Lentils Bag (2kg),Pantry,2,1,No
89,Glass Vinegar Bottle,Condiments,0.5,2,No
90,Fresh Pears Pack (1kg),Produce,1,3,No
91,Glass Sauce Jar (bbq),Condiments,0.6,7,No
92,Ready-to-eat Rice Bowl,Prepared Food,0.4,2,Yes
93,Frozen Dumplings (600g),Frozen Food,0.6,2,Yes
94,Glass Sweets Jar,Confectionery,0.9,7,No
95,Glass Oil Jar (small),Pantry,0.35,4,No
96,Cold Brew Coffee Bottle (330ml),Beverages,0.33,5,Yes
97,Fresh Prawns (1kg),Seafood,1,9,Yes
98,Packaged Paneer Cubes,Dairy,0.4,5,Yes
99,Glass Fermented Sauce,Condiments,0.5,8,No
100,Cereal Box (500g),Pantry,0.5,1,No
101,Frozen Berries Mix (300g),Frozen Food,0.3,4,Yes
102,Glass Marmite Jar,Condiments,0.22,4,No
103,Fresh Lemons (1kg),Produce,1,2,No
104,Glass Hot Sauce Bottle,Condiments,0.12,6,No
105,Prepared Sandwich (pack),Prepared Food,0.3,6,Yes
106,Bulk Coffee Beans (1kg),Pantry,1,1,No
107,Glass Pickled Eggs Jar,Condiments,1.1,9,No
108,Soft Cheese (200g),Dairy,0.2,5,Yes
109,Fresh Corn (per ear),Produce,0.3,2,Yes
110,Glass Dessert Jar,Prepared Food,0.35,7,No
111,Frozen Fish Sticks (400g),Frozen Food,0.4,2,Yes
112,Packaged Ramen Bowl,Prepared Food,0.2,1,No
113,Organic Fresh Milk (2L),Dairy,2,6,Yes
114,Glass Coffee Syrup,Condiments,0.6,3,No
115,Fresh Grapefruit (single),Produce,0.4,2,No
116,Glass Canning Jar (1L),Pantry,1,10,No
117,Frozen Berry Smoothie (pack),Frozen Food,0.45,3,Yes
118,Glass Infused Oil Bottle,Pantry,0.4,4,No
119,Fresh Zucchini (1kg),Produce,1,3,Yes
120,Packaged Muesli (400g),Pantry,0.4,1,No
121,Glass Dessert Sauce,Condiments,0.3,6,No
122,Fresh Oats Bag (1kg),Pantry,1,1,No
123,Glass Fermented Drink,Beverages,0.5,7,Yes
124,Packaged Sweets Box,Confectionery,0.6,4,No
125,Fresh Duck Eggs (6),Dairy,0.9,10,Yes
126,Glass Salsa Jar,Condiments,0.45,8,No
127,Fresh Peaches Pack (1kg),Produce,1,6,Yes
128,Glass Cinnamon Syrup,Condiments,0.3,4,No
129,Packaged Fruit Cup,Prepared Food,0.2,3,Yes
130,Fresh Herbs Bunch (cilantro),Produce,0.05,6,Yes
131,Glass Marmalade Small,Condiments,0.2,5,No
132,Fresh Carrots (1kg),Produce,1,2,No
133,Glass Baby Food Tiny Jar,Infant Food,0.08,9,Yes
134,Frozen Sausage Roll (pack),Frozen Food,0.5,3,Yes
135,Packaged Protein Cookies,Snacks,0.25,1,No
136,Glass Infused Vinegar,Condiments,0.3,3,No
137,Fresh Spinach Bag (200g),Produce,0.2,6,Yes
138,Packaged Fruit Leather,Snacks,0.05,2,No
