material_type,strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,predicted_cost_usd,predicted_co2_footprint,shipping_category,material_safety,material_category
Smartphone Model 87,58,8,28,2.11,87,24.17,52.07,43.73,70.99,45.52,Ultra-Light,Safe,Smartphone
Tablet Model 378,41,11,96,1.96,7,11.68,15.69,18.56,93.14,18.01,Ultra-Light,Moderate,Tablet
Tablet Model 310,37,20,54,2.37,2,25.02,15.36,18.09,103.02,37.86,Ultra-Light,Moderate,Tablet
Camera DSLR Model 47,47,17,22,1.77,92,25.26,40.73,43.43,58.62,44.34,Ultra-Light,Safe,Camera DSLR
Camera DSLR Model 443,37,13,19,1.03,32,31.72,24.71,24.05,69.1,40.89,Ultra-Light,Moderate,Camera DSLR
Bluetooth Speaker Model 345,18,13,72,2.96,4,19.78,3.41,10.11,77.7,33.98,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 318,18,20,94,2.88,6,12.93,4.48,12.37,85.69,24.81,Ultra-Light,Moderate,Laptop
Power Bank Model 292,25,16,36,0.67,45,25.1,17.72,23.9,72.49,31.83,Ultra-Light,Moderate,Power Bank
Smartphone Model 14,44,19,74,2.67,59,13.5,28.12,34.5,79.67,31.54,Ultra-Light,Safe,Smartphone
Smartwatch Model 169,40,5,86,2.11,43,11.17,27.04,25.68,78.43,21.99,Ultra-Light,Moderate,Smartwatch
Power Bank Model 77,25,17,19,0.45,78,26.77,31.35,32.43,43.28,35.93,Ultra-Light,Safe,Power Bank
Laptop Model 240,53,2,80,2.31,65,10.89,41.01,34.95,63.16,26.66,Ultra-Light,Safe,Laptop
Headphones Model 244,35,4,29,1.33,61,26.0,26.95,28.3,51.86,39.2,Ultra-Light,Safe,Headphones
Bluetooth Speaker Model 119,31,4,99,3.0,12,10.9,12.1,14.4,77.57,23.49,Ultra-Light,Moderate,Bluetooth Speaker
Smartwatch Model 456,58,20,83,1.29,5,15.37,19.28,26.36,116.4,16.49,Ultra-Light,Moderate,Smartwatch
Smartwatch Model 339,20,12,32,2.23,100,21.74,35.5,34.67,34.97,43.87,Ultra-Light,Safe,Smartwatch
