ProductID,ProductName,ProductCategory,Weight_KG,RequiredStrength_Level,FragilityLevel,MoistureRequired,OxygenSensitivity,ShippingDistance_KM,ShelfLife_Months,PreferredBiodegradable,PreferredRecyclable,MaxBudgetPerUnit_USD
1,UHT Milk 1L,Milk & Dairy,1.0,6,2,9,7,800,6.0,1,0,0.3
2,Fresh Toned Milk 500ml,Milk & Dairy,0.5,6,2,9,7,200,0.5,1,0,0.18
3,Plain Yogurt Cup 150g,Milk & Dairy,0.15,4,3,8,6,300,1.0,1,0,0.15
4,Flavoured Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.0,1,0,0.18
5,Greek Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.5,1,0,0.22
6,Cheddar Cheese Block 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.35
7,Cheese Slices 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.38
8,Butter Brick 100g,Milk & Dairy,0.1,4,2,8,7,800,6.0,1,1,0.2
9,Ghee Jar 500g,Milk & Dairy,0.5,5,3,7,6,1500,12.0,1,1,0.6
10,Flavoured Milk 200ml,Milk & Dairy,0.2,4,2,8,7,600,3.0,1,0,0.25
11,Whole Wheat Flour 5kg,Grains & Staples,5.0,7,1,3,3,600,12.0,1,1,0.4
12,Refined Wheat Flour 1kg,Grains & Staples,1.0,6,1,3,3,800,12.0,1,1,0.25
13,Basmati Rice 1kg,Grains & Staples,1.0,6,1,2,2,1200,18.0,1,1,0.28
14,Idli Rice 2kg,Grains & Staples,2.0,6,1,2,2,1000,12.0,1,1,0.45
15,Poha 500g,Grains & Staples,0.5,4,1,3,3,700,9.0,1,1,0.2
16,Suji 500g,Grains & Staples,0.5,4,1,3,3,700,9.0,1,1,0.22
17,Quick Oats 1kg,Grains & Staples,1.0,4,1,3,3,900,12.0,1,1,0.35
18,Chana Dal 1kg,Pulses & Lentils,1.0,5,1,3,3,900,12.0,1,1,0.3
19,Toor Dal 1kg,Pulses & Lentils,1.0,5,1,3,3,900,12.0,1,1,0.32
20,Moong Dal 1kg,Pulses & Lentils,1.0,5,1,3,3,900,12.0,1,1,0.34
21,Instant Noodles Pack 70g,Ready-to-Eat,0.07,3,2,5,4,1500,6.0,1,1,0.15
22,Instant Noodles Family Pack 280g,Ready-to-Eat,0.28,4,2,5,4,1500,6.0,1,1,0.4
23,Instant Pasta Cup 80g,Ready-to-Eat,0.08,4,2,5,4,1500,6.0,1,1,0.25
24,Ready-to-Eat Dal Pouch 300g,Ready-to-Eat,0.3,4,2,7,6,1200,6.0,1,1,0.4
25,Ready-to-Eat Rajma Pouch 300g,Ready-to-Eat,0.3,4,2,7,6,1200,6.0,1,1,0.42
26,Microwave Rice Pouch 250g,Ready-to-Eat,0.25,4,2,6,5,1200,6.0,1,1,0.38
27,Breakfast Cereal Box 375g,Bakery & Breakfast,0.38,4,1,3,3,2000,9.0,1,1,0.4
28,Cornflakes 500g,Bakery & Breakfast,0.5,4,1,3,3,2000,9.0,1,1,0.45
29,Granola Clusters 300g,Bakery & Breakfast,0.3,4,1,3,3,2000,9.0,1,1,0.5
30,Multigrain Bread Loaf 400g,Bakery & Breakfast,0.4,4,4,6,6,50,0.25,1,1,0.25
31,White Bread Loaf 400g,Bakery & Breakfast,0.4,4,4,6,6,50,0.2,1,1,0.22
32,Rusk 300g,Bakery & Snacks,0.3,4,2,3,3,600,9.0,1,1,0.28
33,Plain Biscuits 250g,Bakery & Snacks,0.25,3,2,3,3,500,9.0,1,1,0.2
